Holdings details

Mid-Cap ETF (VO)


Equity,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2212706,Molina Healthcare Inc,MOH,0.23%,Health Care Providers & Services,US,---,"$405,211,174.00","1,176,025"
,2440637,CenterPoint Energy Inc,CNP,0.23%,Multi-Utilities,US,---,"$404,665,245.14","13,754,767"
,2989356,Zebra Technologies Corp,ZBRA,0.23%,"Electronic Equipment, Instruments & Components",US,---,"$404,525,717.76","1,092,368"
,2316619,Essex Property Trust Inc,ESS,0.23%,Residential REITs,US,---,"$401,768,836.64","1,359,992"
,2433530,Hologic Inc,HOLX,0.23%,Health Care Equipment & Supplies,US,---,"$400,700,762.48","4,918,988"
,BF2FJ99,MongoDB Inc,MDB,0.23%,IT Services,US,---,"$398,966,849.70","1,475,742"
,BSBK800,Labcorp Holdings Inc,LH,0.23%,Health Care Providers & Services,US,---,"$397,388,560.32","1,778,184"
,B4QG225,United Airlines Holdings Inc,UAL,0.23%,Passenger Airlines,US,---,"$397,332,003.42","6,963,407"
,B5B1S13,Dollar General Corp,DG,0.22%,Consumer Staples Distribution & Retail,US,---,"$393,839,952.90","4,656,970"
,2589132,Mid-America Apartment Communities Inc,MAA,0.22%,Residential REITs,US,---,"$393,306,578.70","2,475,183"
,B28TS42,Ulta Beauty Inc,ULTA,0.22%,Specialty Retail,US,---,"$393,219,379.20","1,010,535"
,2325507,Expeditors International of Washington Inc,EXPD,0.22%,Air Freight & Logistics,US,---,"$392,729,371.20","2,988,808"
,B02T2J7,Las Vegas Sands Corp,LVS,0.22%,"Hotels, Restaurants & Leisure",US,---,"$392,556,555.36","7,798,104"
,B748CK2,Expedia Group Inc,EXPE,0.22%,"Hotels, Restaurants & Leisure",US,---,"$390,766,139.10","2,639,955"
,2570200,Masco Corp,MAS,0.22%,Building Products,US,---,"$387,974,709.12","4,622,048"
,BM8JYX3,Warner Bros Discovery Inc,WBD,0.22%,Entertainment,US,---,"$385,563,057.00","46,734,916"
,2679204,Align Technology Inc,ALGN,0.22%,Health Care Equipment & Supplies,US,---,"$382,201,760.16","1,502,838"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.21%,Entertainment,US,---,"$376,767,790.84","3,441,116"
,2066408,Avery Dennison Corp,AVY,0.21%,Containers & Packaging,US,---,"$376,450,106.96","1,705,246"
,2831543,Southwest Airlines Co,LUV,0.21%,Passenger Airlines,US,---,"$375,975,899.64","12,689,028"
,2523044,Carnival Corp,CCL,0.21%,"Hotels, Restaurants & Leisure",US,---,"$373,400,153.28","20,205,636"
,2329770,FactSet Research Systems Inc,FDS,0.21%,Capital Markets,US,---,"$370,458,838.80","805,608"
,BQRX1X3,Citizens Financial Group Inc,CFG,0.21%,Banks,US,---,"$370,438,750.44","9,019,692"
,B75JX34,LPL Financial Holdings Inc,LPLA,0.21%,Capital Markets,US,---,"$368,327,498.97","1,583,319"
,BN134B7,Snowflake Inc,SNOW,0.21%,IT Services,US,---,"$366,479,552.18","3,190,663"
,2702791,Quest Diagnostics Inc,DGX,0.21%,Health Care Providers & Services,US,---,"$365,999,391.00","2,357,484"
,2648668,Northern Trust Corp,NTRS,0.21%,Capital Markets,US,---,"$365,239,015.77","4,056,859"
,2909730,Tyson Foods Inc,TSN,0.21%,Food Products,US,---,"$360,527,698.60","6,053,185"
,2465254,International Paper Co,IP,0.20%,Containers & Packaging,US,---,"$359,372,157.10","7,356,646"
,B3Q2FJ4,Stanley Black & Decker Inc,SWK,0.20%,Machinery,US,---,"$359,091,199.56","3,260,612"
