iShares Core MSCI Total International Stock ETF
Fund Holdings as of,"Oct 24, 2024"
Inception Date,"Oct 18, 2012"
Shares Outstanding,"547,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","89,198,671.51","0.23","89,198,671.51","1,135,774.00","78.54","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"BNP","BNP PARIBAS SA","Financials","Equity","88,572,859.82","0.23","88,572,859.82","1,255,639.00","70.54","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","87,524,475.61","0.23","87,524,475.61","38,915.00","2,249.12","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"RIO","RIO TINTO PLC","Materials","Equity","86,624,235.39","0.23","86,624,235.39","1,354,695.00","63.94","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","85,518,633.32","0.22","85,518,633.32","360,666.00","237.11","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"CS","AXA SA","Financials","Equity","84,567,442.85","0.22","84,567,442.85","2,219,992.00","38.09","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","84,154,045.99","0.22","84,154,045.99","2,445,996.00","34.41","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","83,845,178.36","0.22","83,845,178.36","163,651.00","512.34","Germany","Xetra","USD","0.93","EUR","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","83,173,839.77","0.22","83,173,839.77","2,182,200.00","38.11","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","82,863,323.68","0.22","82,863,323.68","546,700.00","151.57","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","82,817,576.20","0.22","82,817,576.20","2,281,200.00","36.30","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"BMO","BANK OF MONTREAL","Financials","Equity","82,216,474.45","0.21","82,216,474.45","880,296.00","93.40","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"UCG","UNICREDIT","Financials","Equity","80,733,152.99","0.21","80,733,152.99","1,866,456.00","43.25","Italy","Borsa Italiana","USD","0.93","EUR","-"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","80,629,969.02","0.21","80,629,969.02","583,967.00","138.07","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Consumer Discretionary","Equity","78,131,994.90","0.20","78,131,994.90","1,315,658.00","59.39","Spain","Bolsa De Madrid","USD","0.93","EUR","-"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","78,035,669.21","0.20","78,035,669.21","24,909.00","3,132.83","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","77,419,875.86","0.20","77,419,875.86","1,474,961.00","52.49","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","77,096,043.71","0.20","77,096,043.71","233,300.00","330.46","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Equity","76,444,437.18","0.20","76,444,437.18","3,634,184.00","21.03","Australia","Asx - All Markets","USD","1.51","AUD","Jan 01, 1998"
"NG.","NATIONAL GRID PLC","Utilities","Equity","76,347,231.86","0.20","76,347,231.86","5,850,717.00","13.05","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"ENEL","ENEL","Utilities","Equity","75,662,639.02","0.20","75,662,639.02","9,731,179.00","7.78","Italy","Borsa Italiana","USD","0.93","EUR","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","74,904,021.54","0.19","74,904,021.54","10,418,710.00","7.19","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"8058","MITSUBISHI CORP","Industrials","Equity","74,407,955.37","0.19","74,407,955.37","4,055,000.00","18.35","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"RACE","FERRARI NV","Consumer Discretionary","Equity","74,228,048.43","0.19","74,228,048.43","154,069.00","481.78","Italy","Borsa Italiana","USD","0.93","EUR","-"
"ISP","INTESA SANPAOLO","Financials","Equity","74,048,573.20","0.19","74,048,573.20","17,677,373.00","4.19","Italy","Borsa Italiana","USD","0.93","EUR","-"
"PRX","PROSUS NV CLASS N","Consumer Discretionary","Equity","73,232,079.86","0.19","73,232,079.86","1,738,833.00","42.12","Netherlands","Euronext Amsterdam","USD","0.93","EUR","-"
"2454","MEDIATEK INC","Information Technology","Equity","73,132,197.00","0.19","73,132,197.00","1,847,970.00","39.57","Taiwan","Taiwan Stock Exchange","USD","32.09","TWD","Jul 23, 2001"
"9984","SOFTBANK GROUP CORP","Communication","Equity","72,924,231.45","0.19","72,924,231.45","1,260,000.00","57.88","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","72,128,134.24","0.19","72,128,134.24","1,143,522.00","63.08","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"8001","ITOCHU CORP","Industrials","Equity","71,293,330.26","0.19","71,293,330.26","1,433,700.00","49.73","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","71,273,284.87","0.19","71,273,284.87","2,395,000.00","29.76","Singapore","Singapore Exchange","USD","1.32","SGD","Jan 01, 1998"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","71,072,865.51","0.18","71,072,865.51","2,246,500.00","31.64","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","71,030,146.05","0.18","71,030,146.05","640,738.00","110.86","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","70,119,437.84","0.18","70,119,437.84","1,084,872.00","64.63","Belgium","Nyse Euronext - Euronext Brussels","USD","0.93","EUR","-"
"DG","VINCI SA","Industrials","Equity","69,524,000.29","0.18","69,524,000.29","617,344.00","112.62","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
